distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
0.39026124,0.673443355,4.806659234,0,0,0,1,1
11.88106035,0.171752954,10.85054966,1,1,0,1,1
0.927337531,135.6032508,0.046774065,0,0,0,1,1
13.14300415,0.849555497,8.051782549,1,0,0,1,1
27.05494978,0.045969108,6.620008635,1,0,0,1,1
18.69992635,2.833848403,6.616985632,1,0,0,1,1
2.878879879,0.765599775,6.441839229,1,0,0,1,1
131.0369966,0.091632122,1.421929404,1,0,0,1,1
5.842134535,0.310136226,6.318336032,1,0,0,1,1
5.917649727,1.15342805,16.00550572,1,1,0,1,1
1.987914452,0.053415261,4.743708141,1,0,0,1,1
12.65800892,0.584621533,4.105400674,1,0,0,1,1
0.855516531,0.222335453,4.709821403,0,0,0,0,1
15.60360731,0.210895215,10.14592132,1,0,0,1,1
1.410774366,0.026066048,6.910819701,0,1,0,1,1
11.40381416,4.140427842,7.073481374,1,1,0,1,1
52.93558581,0.76149635,11.07026386,1,0,0,1,1
622.6688211,2.455361599,1.989529411,1,0,0,1,1
12.27532135,7.292367689,7.550752321,1,1,0,1,1
17.10414566,16.48857809,7.289827327,1,0,0,1,1
15.79361125,0.465645228,4.315727888,1,0,0,1,1
6.818025416,4.110773155,8.449561273,1,0,0,1,1
150.5975022,73.95045765,2.840924703,1,0,0,1,1
119.4808635,0.103631528,1.201148869,1,0,0,1,1
112.067404,0.062337779,13.90290098,1,0,0,0,1
6.73774148,112.080007,12.01608209,1,0,0,0,1
38.56914778,0.877431653,5.302341034,1,0,0,1,1
122.8436239,0.745883598,0.802824135,1,0,0,1,1
1.735369971,0.7062595,7.284788554,0,0,0,1,1
10.20264347,96.17820751,0.316973114,1,0,0,1,1
4.419402032,73.6526972,0.573114521,1,0,0,1,1
23.69041609,14.19531043,6.396580674,1,0,0,1,1
3.09064636,1.242091513,5.971358917,1,1,0,1,1
29.46816739,1.231547178,9.636769688,1,0,0,1,1
91.33056043,4.072599997,4.923743344,1,0,0,1,1
1.155215687,1.065083036,6.460497629,0,0,0,1,1
5.965106287,0.955451805,5.556017691,1,1,0,1,1
85.34106462,0.712996076,5.611618829,1,0,0,1,1
12.19815527,0.347076401,4.93039253,1,0,0,1,1
4.758608985,1.080446971,32.19440121,1,0,0,1,1
218.7113478,1.535172673,16.30629363,1,1,0,1,1
5.585219346,0.420028599,4.714836036,1,1,0,1,1
17.41178483,0.08195783,6.797888303,1,0,0,1,1
7.727297237,0.396970531,8.556788113,1,0,0,1,1
23.06405269,2.929892246,15.67300737,1,0,0,1,1
